#,Company,Ticker,Accusation,Accusation_date,Link,Newspaper
1,Adidas,ADS.DE,0,,,
2,Airbus,AIR.PA,0,,,
3,Allianz,ALV.DE ,0,,,
4,BASF,BAS.DE,0,,,
5,Bayer,BAYN.DE,1,2023-10-25,https://www.sustainableviews.com/bayer-accused-of-greenwashing-over-regenerative-agriculture-claims-7606da22/,Sustainable Views
6,Beiersdorf,BEI.DE,1,2022-05-19,https://www.tagesschau.de/wirtschaft/verbraucher/dm-rossmann-klimaneutral-duh-greenwashing-101.html,Tagesschau
7,BMW,BMW.DE,1,2023-07-20,https://news.bloomberglaw.com/esg/danish-ombudsmand-reports-bmw-to-police-over-greenwashing,Bloomberg
8,Brenntag,BNR.DE,0,,,
9,Commerzbank,CBK.DE,0,,,
10,Continental,CON.DE,0,,,
11,Covestro,1COV.DE,0,,,
12,Daimler Truck,DTG.DE,0,,,
13,Deutsche Bank,DBK.DE,1,2022-05-31,https://www.tagesschau.de/wirtschaft/unternehmen/razzia-dws-101.html,Tagesschau
14,Deutsche Börse,DB1.DE,0,,,
15,Deutsche Post,DHL.DE,1,2022-07-02,https://www.watson.de/nachhaltigkeit/klima-umwelt/542390391-studie-zu-klimaschutz-greenwashing-bei-25-grossfirmen-etwa-dhl-und-ikea,Watson
16,Deutsche Telekom,DTE.DE,0,,,
17,E.ON,EOAN.DE,0,,,
18,Fresenius,FRE.DE,0,,,
19,Hannover Re,HNR1.DE,0,,,
20,Heidelberg Materials,HEI.DE,0,,,
21,Henkel,HEN3.DE,0,,,
22,Infineon Technologies,IFX.DE,0,,,
23,Mercedes-Benz Group,MBG.DE,1,2023-12-22,https://news.bloomberglaw.com/esg/mercedes-benz-reported-to-police-in-denmark-over-greenwashing,Bloomberg
24,Merck,MRK.DE,0,,,
25,MTU Aero Engines,MTX.DE,0,,,
26,Munich Re,MUV2.DE,0,,,
27,Porsche,P911.DE,0,,,
28,Porsche SE,PAH3.DE,0,,,
29,Qiagen,QIA.DE,0,,,
30,Rheinmetall,RHM.DE,0,,,
31,RWE,RWE.DE,0,,,
32,SAP,SAP.DE,0,,,
33,Sartorius,SRT3.DE,0,,,
34,Siemens,SIE.DE,0,,,
35,Siemens Energy,ENR.DE,0,,,
36,Siemens Healthineers,SHL.DE,0,,,
37,Symrise,SY1.DE,0,,,
38,Volkswagen Group,VOW3.DE,0,,,
39,Vonovia,VNA.DE,0,,,
40,Zalando,ZAL.DE,1,2023-02-28,https://www.tagesschau.de/investigativ/report-mainz/vollbild-zalando-nachhaltigkeit-ruecksendungen-101.html,Tagesschau
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,7
